ARTISTA,TITULO,DURACION
LOS GRANADIANS,ROCKSTEADY BIRTHDAY,00:02:45
LITTLE WILLIE JOHN,DON´T PLAY WITH LOVE,00:02:44
JOE TEX,SHE´S MINE,00:02:21
"EL PAULING, THE ROYALTON",SOLID ROCK,00:02:18
LULA REED + FREDDY KING,YOU CAN´T HIDE,00:03:01
OTIS REDDING,SHOUT BAMALAMA,00:01:57
THE VALENTINES,THAT´S IT MAN,00:02:50
BILL DOGGET,HOLD IT,00:02:34
PERRY & THE HARMONICS,DO THE MONKEY WITH JAMES,00:02:56
DELLA REESE,IT WAS A VERY GOOD YEAR (LIVE),00:02:57
MARLENA SHAW,LET´S WADE IN THE WATER,00:03:34
JOE BATAAN,CHIK-A-BOOM,00:03:46
DON FARDON,I´M ALIVE,00:02:31
LOS RETROVISORES,SOY LIBRE,00:02:45
THE CHERRY BOPPERS,EL PATETICO,00:03:42
KOKO-JEAN AND THE TONICS,SHE PUT A SPELL ON ME,00:02:20
MAMBO JAMBO ARKESTRA,EL TIMO,00:03:10
MIKE SANCHES & THE LIMBOOS,LET THEM ROCK,00:01:57
DANI NEL-LO,MERCY,00:02:00
LOS SAXOS DEL AVERNO + ADRIAN COSTA,DEVIL INSIDE,00:03:23
TT SYNDICATE,ONE NIGHT STANDS,00:02:35
MIA VERGARA,MR DOCTOR,00:02:38
TITO RAMIREZ,LONELY MAN,00:02:50
MANNY BOWSMUND & TITO RAMIREZ,EL GOLPE,00:02:33
THE SANITIZERS,SA-NI-TI-ZIN,00:02:57
LOS TORONTOS,MI AMOR ESRES TU,00:01:39
THE NEW PICCADILLYS,JUDY IS A PUNK,00:01:50
RAY COLLINS HOT CLUB,BAREFOOT,00:02:57
THE PRIVATES HAMMOND ORCHESTRA,THE BATTLE OF THE YOKER,00:04:11
THE BOOGALOO INVESTIGATORS,LET´S WORK A WHILE,00:03:32
JOSEPH HENRY,WHO´S THE KING (YOU KNOW IT´S ME),00:03:04
THE FANTASTICS!,SOUL CHILD,00:03:55
THE POETS OF RYTHM,PRACTICE WHAT YOU PREACH,00:03:27
BREAKESTRA,LITTLE MISS FUNKY SOLE,00:04:29
THE DIPLOMATS OF SOLID SOUND,LOAF AND JUG,00:02:16
THE DELTA RYTHM SECTION ,THE GETAWAY,00:02:59
CALIBRO,CLBR 35,00:03:39
THE NEW MASTERSOUNDS,BUTTER (FOR YO POPCORN),00:02:27
SVEN HAMMOND,SVOOGALOO,00:04:54
THE SOUND STYLISITICS,THE PLAYER´S THEME,00:04:47
THIRD COAST KINGS,JUST MOVE,00:03:40
SPEEDOMETER,WORK IT OUT,00:03:04
THE PC´S LTD,FAST MAN,00:02:40
COOKIN´ON THREE BURNERS,SETTLE THE SCORE feat. KYLIE AULDLIST,00:04:06
SHARON JONES & THE DAP KINGS,MATTER OF TIME,00:03:22
ANAUT,BLACK IS BLACK,00:03:25
MARTA REN & THE GROOVELETTES,I´M NOT YOUR REGULAR WOMAN,00:02:39
SVEN HAMMOND,SPINNING OUT,00:03:25
JC BROOKS & THE UPTOWN SOUND,I AM TRYING TO BREAK YOUR HEART,00:03:33
THE HAWK,DON´T JUDGE A BOOK BY ITS COVER,00:03:21
TANIKA CHARLES,ENDLESS CHAIN,00:03:49
BETTY WRIGHT,THAT MAN OF MINE,00:03:25
THE BRAND NEW HEAVIES,GETAWAY,00:03:31
NIÑATO,ARMONÍA,00:03:41
Gentlement’s Agreement ,All Good Things,00:02:36
Hipbone Slim,Birdman,00:02:52
Les Braqueurs,The Smart Mob,00:02:20
MFC Chicken,Colonel Sanders' Bastard Son,00:02:42
Imperial Surfers,All I Ever Want Is] Girls,00:02:28
The Peawees,When You Walk on My Pride,00:02:21
JD McPherson,Fire Bug,00:02:16
The Cavemen Five,I've Been Waitin',00:02:10
The Fuzillis,Beaver Shot,00:01:55
Hipbone Slim & His The Kneetremblers,Git It,00:02:24
Los Mambo Jambo & Barrence Whitfield,Jackeline,00:02:03
Sir Bald Diddley and his Ripcurls,Hipsville,00:02:38
